id_mrp	order	kode	color	width	qty_gross	supplier	tipe	po	price	amount	currency	rate	price_usd	amount_usd	kk	qty_sisa
35	BL-HDM0192	PHDHTP640	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.04	215.9	USD	1	0.039	215.9	60	5536
36	BL-HDM0192	PHDHTP687	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
37	BL-HDM0192	PHDHTP693	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
38	BL-HDM0192	PHDHTP712	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
39	BL-HDM0192	PHDHTP839	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.13	736.29	USD	1	0.133	736.29	-	5536
40	BL-HDM0192	PHDOTPB01	-----	-	5481	PT.DONG JUNG	Local	MBL22021	0.01	46.59	USD	1	0.0085	46.59	60	5481
41	BL-HDM0192	PHDST0006	-----	-	2251	PT.KIDO	Local	MBL22021	470	1057970	RP	12000	0.0392	88.16	60	2251
42	BL-HDM0192	POTH00001	-----	-	5481	PT.UTAMA JAYA LANGGENG	Local	MBL22021	1250	6851250	RP	12000	0.1042	570.94	60	5481
43	BL-HDM0192	POTH00004	-----	-	13593	PT.UTAMA JAYA LANGGENG	Local	MBL22021	608.7	8274000.65	RP	12000	0.0507	689.5	60	13593
44	BL-HDM0192	POTH000048	-----	-	10962	PT.UTAMA JAYA LANGGENG	Local	MBL22021	652.17	7149130.29	RP	12000	0.0543	595.76	60	10962
45	BL-HDM0192	POTH00005	-----	-	9154	PT. HARMUS SURYA NUSANTARA	Local	MBL22021	300	2746200	RP	12000	0.025	228.85	60	9154
46	BL-HDM0192	POTH00048	-----	-	78	PT.UTAMA JAYA LANGGENG	Local	MBL22021	18500	1443000	RP	12000	1.5417	120.25	40	78
47	BL-HDM0192	POTHDES04	-----	-	5481	IMP.DRY PAK-HD	Import	MBL22021	0.37	2021.39	USD	1	0.3688	2021.39	-	5481
48	BL-HDM0192	PPA850250	-----	-	1828	PT ZINYANG INDONESIA	Local	MBL22021	1425	2604900	RP	12000	0.1188	217.08	-	1828
49	BL-HDM0192	PPBHD1014N	-----	-	131	PT.DONG JUNG	Local	MBL22021	0.34	44.36	USD	1	0.3386	44.36	-	131
50	BL-HDM0192	PPBHD8090N	-----	-	2471	PT.DONG JUNG	Local	MBL22021	0.16	405	USD	1	0.1639	405	-	2471
51	BL-HDM0192	PPBHD9010N	-----	-	2879	PT.DONG JUNG	Local	MBL22021	0.23	666.49	USD	1	0.2315	666.49	-	2879
52	BL-HDM0192	RO0694P2T	BLACK	"56"""	1942	"G&H INTERNATIONAL CO.,LTD"	Korea	MBL22021	3.05	5923.1	LSD	1	3.05	5923.1	50	0
53	BL-HDM0192	ROBL71210	BLACK	-	7809	IMP.JIAXING BANGLIN TEXTILE-HD	Import	MBL22021	1.66	12962.94	USD	1	1.66	12962.94	-	0
54	BL-HDM0192	ROLEDOBL01	BLACK	"59"""	1576	IMP.JIAXING BANGLIN TEXTILE-HD	Import	MBL22021	2.1	3309.6	USD	1	2.1	3309.6	-	0
55	BL-HDM0192	SNY100204	BLACK	-	55	DONG YANG YUNSA	Korea	MBL22021	780	42900	WON	1100	0.7091	39	40	55
56	BL-HDM0192	SNY100301	BLACK	-	83	DONG YANG YUNSA	Korea	MBL22021	2000	166000	WON	1100	1.8182	150.91	40	83
57	BL-HDM0192	SNY210302	BLACK	-	1206	DONG YANG YUNSA	Korea	MBL22021	1570	1893420	WON	1100	1.4273	1721.29	40	1206
58	BL-HDM0192	SNY210302	DY5734	-	110	DONG YANG YUNSA	Korea	MBL22021	1570	172700	WON	1100	1.4273	157	40	110
59	BL-HDM0192	SPO150301	BLACK	-	220	DONG YANG YUNSA	Korea	MBL22021	1280	281600	WON	1100	1.1636	256	40	220
60	BL-HDM0192	SPS040301	BLACK	-	220	DONG YANG YUNSA	Korea	MBL22021	1570	345400	WON	1100	1.4273	314	40	220
61	BL-HDM0192	SPS060301	BLACK	-	412	DONG YANG YUNSA	Korea	MBL22021	1150	473800	WON	1100	1.0455	430.73	40	412
62	BL-HDM0192	TBO000501	-----	-	3837	DG.MEIMEN	DongGan	MBL22021	0.61	2340.57	CNY	7	0.0938	360.09	40	3837
63	BL-HDM0192	TBOND0001	-----	-	61	KUJIN	Korea	MBL22021	27000	1647000	WON	1100	24.5455	1497.27	-	61
